open,high,low,close,volume,return,log_return,pct_change,volatility_20,ema_9,ema_21,ema_50,macd_line,macd_signal,macd_hist,rsi_14,atr_14,bb_mid,bb_upper,bb_lower,bb_width,supertrend,candle_body,candle_range,upper_wick,lower_wick,volume_change,volume_ema20,volume_ratio,y_1,y_3,y_5
24673.25,24682.150390625,24673.099609375,24681.19921875,0.0,0.00031410282086175023,0.00031405350089741546,0.00031410282086175023,0.0005518013686181025,24670.425754221018,24661.324437676194,24646.247177386093,10.343018539057084,10.313493400198865,0.029525138858218725,46.499491952782975,24.2607421875,24666.37998046875,24694.65727937342,24638.102681564083,56.554597809335974,24608.153878348214,7.94921875,9.05078125,0.951171875,0.150390625,0.0,0.0,0.0,1,1,1
24679.94921875,24690.30078125,24674.44921875,24683.75,0.0,0.00010334916174015163,0.00010334382158383448,0.00010334916174015163,0.0005343231358172786,24673.090603376815,24663.363125160176,24647.717876312126,10.817648044900125,10.414324329139117,0.4033237157610081,53.74660354631782,22.857282366071427,24668.67001953125,24694.57125114934,24642.768787913163,51.80246323617757,24613.803152901786,3.80078125,15.8515625,6.55078125,5.5,0.0,0.0,0.0,1,1,1
24684.19921875,24692.25,24678.94921875,24691.44921875,0.0,0.00031191446802036893,0.00031186583281517244,0.00031191446802036893,0.0005176419215575457,24676.762326451455,24665.916406395612,24649.432830917533,11.680413420759578,10.667542147463209,1.0128712732963692,56.01726066805178,22.907366071428573,24670.47744140625,24697.47245246571,24643.482430346787,53.99002211892366,24616.877511160714,7.25,13.30078125,0.80078125,5.25,0.0,0.0,0.0,1,1,1
24691.599609375,24704.5,24689.349609375,24702.19921875,0.0,0.0004353733920094971,0.00043527864451498033,0.0004353733920094971,0.0005206933934524301,24681.84970491117,24669.214843882375,24651.50210102861,13.080808932663786,11.150195504503325,1.930613428160461,74.31991124861327,20.325334821428573,24672.4048828125,24702.655876299323,24642.15388932568,60.50198697364249,24635.948800223214,10.599609375,15.150390625,2.30078125,2.25,0.0,0.0,0.0,1,1,1
24703.05078125,24730.19921875,24703.05078125,24721.05078125,0.0,0.0007631532048244516,0.0007628621514861322,0.0007631532048244516,0.0005418269767443862,24689.689920178935,24673.927201824885,24654.22950025298,15.532744203443144,12.02670524429129,3.506038959151855,76.51807401057295,19.196707589285715,24674.9673828125,24712.17277672764,24637.761988897364,74.41078783027478,24659.03487723214,18.0,27.1484375,9.1484375,0.0,0.0,0.0,0.0,0,1,1
24721.0,24729.05078125,24709.94921875,24713.75,0.0,-0.0002953264937887168,-0.0002953701112460294,-0.0002953264937887168,0.0005398624696997004,24694.501936143148,24677.54745620444,24656.563637497962,16.694366276522487,12.960237450737528,3.7341288257849587,70.28663170918517,19.236049107142858,24676.532421875,24717.505514276258,24635.55932947374,81.94618480251665,24661.791852678572,7.25,19.1015625,8.05078125,3.80078125,0.0,0.0,0.0,1,1,1
24713.55078125,24726.30078125,24713.55078125,24723.75,0.0,0.00040463304840421266,0.00040455120652893584,0.00040463304840421266,0.0005403067398996895,24700.35154891452,24681.74768745858,24659.198396811767,18.2119406497186,14.010578090533743,4.201362559184856,71.4283690956731,18.682477678571427,24678.11494140625,24723.79425360813,24632.43562920437,91.35862440375786,24663.878348214286,10.19921875,12.75,2.55078125,0.0,0.0,0.0,0.0,1,1,1
24724.150390625,24745.849609375,24723.25,24742.900390625,0.0,0.000774574675160622,0.0007742748470143113,0.000774574675160622,0.0005257531025215803,24708.86131725662,24687.307024110072,24662.480827941697,20.721046426155226,15.35267175765804,5.368374668497186,78.66919158939533,18.543247767857142,24681.594921875,24735.5795608921,24627.6102828579,107.96927803420112,24678.920061383928,18.75,22.599609375,2.94921875,0.900390625,0.0,0.0,0.0,1,1,1
24743.349609375,24754.05078125,24736.19921875,24746.05078125,0.0,0.0001273250336566445,0.0001273169285127551,0.0001273250336566445,0.0005250037744425403,24716.299210055295,24692.647365668246,24665.758081012613,22.70204597121119,16.82254660036867,5.87949937084252,78.21046452680167,18.618443080357142,24685.207421875,24746.20945288738,24624.20539086262,122.00406202476006,24689.269670758928,2.701171875,17.8515625,8.0,7.150390625,0.0,0.0,0.0,1,1,1
24745.150390625,24776.0,24739.30078125,24776.0,0.0,0.00121026255925627,0.0012095307818924539,0.00121026255925627,0.00045424321801998293,24728.239368044236,24700.224877880224,24670.081293521922,26.384509834475466,18.73493924719003,7.649570587285435,79.0750112100442,19.300502232142858,24691.93740234375,24761.665159415497,24622.209645272,139.45551414349757,24699.748883928572,30.849609375,36.69921875,0.0,5.849609375,0.0,0.0,0.0,1,1,1
24776.05078125,24782.650390625,24769.75,24782.05078125,0.0,0.00024421945632879805,0.0002441896396128129,0.00024421945632879805,0.0004542653750275576,24739.00165068539,24707.663596368384,24674.472253824984,29.451636324676656,20.878278662687357,8.573357661989299,89.43773715074164,18.393415178571427,24698.61240234375,24775.99214969093,24621.232654996573,154.75949469435727,24721.019949776786,6.0,12.900390625,0.599609375,6.30078125,0.0,0.0,0.0,0,1,1
24782.099609375,24786.099609375,24770.69921875,24779.5,0.0,-0.00010292857812754796,-0.00010293387563820033,-0.00010292857812754796,0.00045923752887864973,24747.101320548314,24714.194178516715,24678.590988969103,31.31554334606335,22.965731599362556,8.349811746700794,92.78025878850337,17.925502232142858,24704.58994140625,24787.65562549428,24621.524257318222,166.13136817605846,24724.622907366072,2.599609375,15.400390625,4.0,8.80078125,0.0,0.0,0.0,1,1,1
24779.599609375,24797.900390625,24774.25,24794.30078125,0.0,0.0005972994309813018,0.0005971211186768244,0.0005972994309813018,0.0004658021460612113,24756.541212688655,24721.476596947014,24683.128627882077,33.59968617368577,25.0925225142272,8.50716365945857,93.20838045995583,18.154157366071427,24711.0724609375,24800.969440895216,24621.175480979782,179.79395991543424,24731.612723214286,14.701171875,23.650390625,3.599609375,5.349609375,0.0,0.0,0.0,1,1,0
24793.849609375,24806.099609375,24785.05078125,24805.94921875,0.0,0.0004698030246050866,0.0004696927017171504,0.0004698030246050866,0.0004480852279479984,24766.42281390093,24729.15592620183,24687.945121641606,35.935574444061785,27.261132900194117,8.674441543867669,93.52735858741403,18.811104910714285,24718.51240234375,24814.070511663755,24622.954293023744,191.11621864001063,24739.14188058036,12.099609375,21.048828125,0.150390625,8.798828125,0.0,0.0,0.0,0,0,0
24806.30078125,24809.099609375,24796.349609375,24796.55078125,0.0,-0.00037887836571459665,-0.0003789501582573962,-0.00037887836571459665,0.00047322130418133503,24772.448407370746,24735.282731206207,24692.204167116444,36.60643121494286,29.130192563143865,7.476238651798994,87.48793987711369,19.075334821428573,24725.16748046875,24823.089206801258,24627.245754136242,195.84345266501623,24745.498604910714,9.75,12.75,2.798828125,0.201171875,0.0,0.0,0.0,1,0,0
24797.05078125,24811.80078125,24793.30078125,24803.349609375,0.0,0.0002741844293174811,0.00027414684763549246,0.0002741844293174811,0.0004437270044379368,24778.6286477716,24741.470629221552,24696.5628119109,37.2572206013574,30.755598170786577,6.501622430570826,87.82413183935168,19.264508928571427,24730.96748046875,24833.10836379736,24628.826597140138,204.28176665722276,24745.498604910714,6.298828125,18.5,8.451171875,3.75,0.0,0.0,0.0,0,0,0
24803.05078125,24808.349609375,24786.69921875,24786.900390625,0.0,-0.0006631853765340923,-0.0006634053812302199,-0.0006631853765340923,0.0004411974600266425,24780.28299634228,24745.600607530956,24700.10546205655,36.03032622488536,31.810543781606334,4.219782443279023,78.60395425333911,19.860909598214285,24736.79248046875,24837.66980648027,24635.91515445723,201.75465202303894,24745.498604910714,16.150390625,21.650390625,5.298828125,0.201171875,0.0,0.0,0.0,0,0,0
24786.94921875,24790.80078125,24771.80078125,24773.900390625,0.0,-0.0005244705790207194,-0.0005246081618217602,-0.0005244705790207194,0.0004574585792319688,24779.00647519883,24748.17331508496,24702.99938082394,33.62144514673855,32.17272405463278,1.448721092105771,71.20086857090055,20.135881696428573,24742.35,24838.172317371656,24646.52768262834,191.6446347433157,24745.498604910714,13.048828125,19.0,3.8515625,2.099609375,0.0,0.0,0.0,1,1,0
24774.150390625,24782.05078125,24757.5,24777.19921875,0.0,0.00013315739843089425,0.0001331485337718874,0.00013315739843089425,0.00045786292150336414,24778.645023909063,24750.812033599963,24705.90917838967,31.614149165037816,32.06100907671379,-0.44685991167597194,68.28380991146841,19.889508928571427,24747.7625,24838.20584503478,24657.319154965222,180.88669006955752,24745.498604910714,3.048828125,24.55078125,4.8515625,16.650390625,0.0,0.0,0.0,0,0,0
24777.80078125,24777.80078125,24760.900390625,24765.349609375,0.0,-0.0004782465229578037,-0.00047836091930086866,-0.0004782465229578037,0.00048374557504090074,24775.985941002255,24752.133631397694,24708.24017568321,28.735938184614497,31.39599489829393,-2.6600567136794346,66.31910556550744,19.732282366071427,24752.35751953125,24835.985205951863,24668.72983311064,167.25537284122402,24745.498604910714,12.451171875,16.900390625,0.0,4.44921875,0.0,0.0,0.0,1,1,0
24765.69921875,24778.19921875,24762.0,24777.099609375,0.0,0.00047445322538686163,0.0004743407080418649,0.00047445322538686163,0.00048729598127100407,24776.208674676804,24754.403265759265,24710.940545631907,27.09077644001445,30.534951206638038,-3.4441747666235862,66.6878459451864,19.978655133928573,24757.1525390625,24834.351359874283,24679.953718250716,154.39764162356732,24745.498604910714,11.400390625,16.19921875,1.099609375,3.69921875,0.0,0.0,0.0,0,0,0
24777.0,24781.25,24759.900390625,24760.94921875,0.0,-0.0006518273276380215,-0.0006520398594300758,-0.0006518273276380215,0.0005226668532656743,24773.156783491446,24754.998352394785,24712.901670067913,24.20475500689645,29.26891196668972,-5.064156959793273,55.753689060457006,19.889369419642858,24761.0125,24830.04623890164,24691.978761098362,138.06747780327714,24745.498604910714,16.05078125,21.349609375,4.25,1.048828125,0.0,0.0,0.0,1,0,1
