open,high,low,close,volume,return,log_return,pct_change,volatility_20,ema_9,ema_21,ema_50,macd_line,macd_signal,macd_hist,rsi_14,atr_14,bb_mid,bb_upper,bb_lower,bb_width,supertrend,candle_body,candle_range,upper_wick,lower_wick,volume_change,volume_ema20,volume_ratio,y_1,y_3,y_5
54962.19921875,54996.5,54952.0,54996.5,0.0,0.000581269532742068,0.0005811006610443314,0.000581269532742068,0.0008636807227510695,54938.995789142464,54872.75084430837,54779.59235457785,71.65064213965525,67.43401184352456,4.216630296130688,62.0314196308832,78.74665178571429,54880.7724609375,55034.63625014098,54726.90867173402,307.7275784069643,54738.010044642855,34.30078125,44.5,0.0,10.19921875,0.0,0.0,0.0,1,1,1
54993.1015625,55020.75,54974.25,55003.75,0.0,0.00013182657078170124,0.00013181788242278003,0.00013182657078170124,0.0008144346375435549,54951.94663131397,54884.65985846215,54788.38285047676,72.88673073649989,68.52455562211964,4.36217511438025,63.5972695154509,78.75390625,54894.8423828125,55038.85908634227,54750.82567928273,288.0334070595418,54761.23828125,10.6484375,46.5,17.0,18.8515625,0.0,0.0,0.0,1,1,1
55003.1015625,55026.55078125,54994.19921875,55018.8984375,0.0,0.00027540735858910814,0.0002753694409438623,0.00027540735858910814,0.0008144216149200478,54965.33699255118,54896.86336564741,54797.42267741885,74.23298056893691,69.66624061148309,4.566739957453819,64.25555293932973,78.68638392857143,54908.8923828125,55042.92246937077,54774.86229625422,268.0601731165516,54774.31584821428,15.796875,32.3515625,7.65234375,8.90234375,0.0,0.0,0.0,1,1,1
55018.55078125,55079.6484375,55013.19921875,55079.1015625,0.0,0.0010942262878705922,0.0010936280586459901,0.0010942262878705922,0.0008288019932037556,54988.08990654095,54913.430474452194,54808.46890820634,79.24430330867472,71.58185315092142,7.662450157753298,81.69435160147131,72.55412946428571,54923.8900390625,55063.79104476459,54783.989033360405,279.8020114041865,54828.761439732145,60.55078125,66.44921875,0.546875,5.3515625,0.0,0.0,0.0,1,1,1
55078.1015625,55154.3984375,55077.6015625,55139.19921875,0.0,0.0010911154057551276,0.0010905205719886624,0.0010911154057551276,0.0008269262290683359,55018.31176898276,54933.95490575199,54821.43872430609,87.06159936334734,74.67780239340661,12.383796969940732,78.90264321870674,63.328683035714285,54938.807421875,55102.95143579446,54774.66340795554,328.28802783892024,54926.013950892855,61.09765625,76.796875,15.19921875,0.5,0.0,0.0,0.0,0,1,1
55138.1015625,55157.30078125,55102.8984375,55125.30078125,0.0,-0.00025206092393292856,-0.0002520926966269599,-0.00025206092393292856,0.0008311183724830892,55039.709571436215,54951.34998534272,54833.35488340193,91.08539927099628,77.95932176892455,13.126077502071723,74.12204157864119,62.414620535714285,54953.3150390625,55129.71508747024,54776.91499065476,352.8000968154811,54942.855747767855,12.80078125,54.40234375,19.19921875,22.40234375,0.0,0.0,0.0,1,1,1
55125.1484375,55161.1015625,55121.3984375,55145.05078125,0.0,0.0003582746891190869,0.0003582105240678146,0.0003582746891190869,0.0008221229757852571,55060.77781339897,54968.95914860701,54845.57825194499,94.77543738358509,81.32254489185667,13.45289249172842,79.31287967736995,61.08984375,54966.630078125,55158.82651579328,54774.43364045673,384.39287533654715,54957.98046875,19.90234375,39.703125,16.05078125,3.75,0.0,0.0,0.0,1,1,1
55146.30078125,55240.3984375,55145.80078125,55234.25,0.0,0.0016175380652714288,0.0016162312595913164,0.0016175380652714288,0.0008714323611571554,55095.47225071918,54993.076498733644,54860.82028128049,103.70203811414831,85.798443536315,17.903594577833303,86.76414736042537,61.739676339285715,54984.8,55205.471922669196,54764.12807733081,441.343845338386,55007.880580357145,87.94921875,94.59765625,6.1484375,0.5,0.0,0.0,0.0,0,1,1
55233.8984375,55242.8984375,55181.1484375,55226.25,0.0,-0.00014483766865669434,-0.00014484815864435063,-0.00014483766865669434,0.0008766983820591925,55121.62780057534,55014.274089757855,54875.15085848518,108.87584736898134,90.41392430284827,18.461923066133068,89.5547121398407,61.80747767857143,55002.2625,55241.509101376716,54763.01589862328,478.4932027534378,55026.60100446428,7.6484375,61.75,9.0,45.1015625,0.0,0.0,0.0,1,1,1
55223.94921875,55272.6484375,55192.8515625,55265.1015625,0.0,0.0007034981100473292,0.0007032507712469993,0.0007034981100473292,0.0007410774451054662,55150.32255296028,55037.076587279866,54890.44304295636,114.78792117412377,95.28872367710338,19.49919749702039,88.49889148305833,61.267857142857146,55026.305078125,55269.90913938475,54782.70101686525,487.20812251949974,55048.94642857143,41.15234375,79.796875,7.546875,31.09765625,0.0,0.0,0.0,1,1,1
55269.8515625,55300.3984375,55245.44921875,55296.1484375,0.0,0.000561780836770609,0.0005616230969902603,0.000561780836770609,0.0006127095586734675,55179.487729868226,55060.62857366351,54906.353058428664,120.58843716191768,100.34866637406624,20.23977078785144,93.79939035460723,58.210658482142854,55045.817578125,55310.425285779325,54781.20987047068,529.2154153086449,55098.29185267857,26.296875,54.94921875,4.25,24.40234375,0.0,0.0,0.0,1,1,0
55292.69921875,55324.25,55282.5,55307.0,0.0,0.00019624445475185937,0.0001962252013267829,0.00019624445475185937,0.0006100359405501172,55204.99018389459,55083.02597605773,54922.06470319617,124.62442547528917,105.20381819431083,19.420607280978345,94.7384228408387,57.73549107142857,55064.13515625,55348.10213765239,54780.168174847604,567.9339628047892,55130.16852678572,14.30078125,41.75,17.25,10.19921875,0.0,0.0,0.0,1,0,0
